ID,Period,StudentAcademicLevel,StudentCategory,StudentLocation,FullTimePartTimeIndicator,AlumniChild,Ethnicity,Gender,ChurchAffiliation,CitizenshipCountry,InternationalIndicator,Continent,CountryResidency,DualCitizenship,ABDIndicator,USCitizensBreakdown
1847,2024 Fall,Undergraduate,Dual Enrollment,Grand Rapids Campus,Part Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1848,2024 Fall,Undergraduate,Dual Enrollment,Grand Rapids Campus,Part Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1849,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1850,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Church,China,Intl Citz,Asia,China,Non Dual Citizen,Not ABD,Non-US Citizen
1851,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,None/Not Stated,China,Intl Citz,Asia,China,Non Dual Citizen,DOMIN,Non-US Citizen
1852,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Church,South Korea,Intl Citz,Asia,South Korea,Non Dual Citizen,Not ABD,Non-US Citizen
1853,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1854,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1855,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Black or African American,Female,Presbyterian,United States of America,Not Intl,Africa,Kenya,Non Dual Citizen,ABD,US Citizens Living Abroad
1856,2024 Fall,Undergraduate,Life and Career Studies,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1857,2024 Fall,Undergraduate,Life and Career Studies,Grand Rapids Campus,Full Time,Not Child of Alumni,Black or African American,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1858,2024 Fall,Undergraduate,Life and Career Studies,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1859,2024 Fall,Undergraduate,Life and Career Studies,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1860,2024 Fall,Undergraduate,Life and Career Studies,Grand Rapids Campus,Full Time,Not Child of Alumni,Not Stated,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1861,2024 Fall,Graduate,Graduate,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1862,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Black or African American,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1863,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Hispanic/Latino,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1864,2024 Fall,Graduate,Graduate,Online Campus,Part Time,Not Child of Alumni,White,Male,Other Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1865,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Asian,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1866,2024 Fall,Graduate,Graduate,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,None/Not Stated,China,Intl Citz,North America,United States of America,Non Dual Citizen,DOMIN,Non-US Citizen
1867,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Church,Ethiopia,Intl Citz,Africa,Ethiopia,Non Dual Citizen,Not ABD,Non-US Citizen
1868,2024 Fall,Graduate,Graduate,Online Campus,Full Time,Not Child of Alumni,Black or African American,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1869,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Church,India,Intl Citz,Asia,India,Non Dual Citizen,Not ABD,Non-US Citizen
1870,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Hispanic/Latino,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1871,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Christian Reformed,China,Intl Citz,Asia,China,Non Dual Citizen,Not ABD,Non-US Citizen
1872,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Reformed,China,Intl Citz,Asia,China,Non Dual Citizen,Not ABD,Non-US Citizen
1873,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,None/Not Stated,Ghana,Intl Citz,North America,United States of America,Non Dual Citizen,DOMIN,Non-US Citizen
1874,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Presbyterian,Kenya,Intl Citz,Africa,Kenya,Non Dual Citizen,Not ABD,Non-US Citizen
1875,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Other Church,Nigeria,Intl Citz,Africa,Mali,Non Dual Citizen,Not ABD,Non-US Citizen
1876,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,None/Not Stated,Brazil,Intl Citz,South America,Brazil,Non Dual Citizen,Not ABD,Non-US Citizen
1877,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Church,Mongolia,Intl Citz,Asia,Mongolia,Non Dual Citizen,Not ABD,Non-US Citizen
1878,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,ABD,US Citizens Living Abroad
1879,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Other Church,China,Intl Citz,Asia,China,Non Dual Citizen,Not ABD,Non-US Citizen
1880,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1881,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Dual Citizen,Not ABD,US Citizens Living Domestically
1882,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1883,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,ABD,US Citizens Living Abroad
1884,2024 Fall,Undergraduate,Dual Enrollment,Grand Rapids Campus,Part Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1885,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Church,South Africa,Intl Citz,Africa,South Africa,Non Dual Citizen,Not ABD,Non-US Citizen
1886,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1887,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Hispanic/Latino,Male,None/Not Stated,United States of America,Not Intl,South America,Brazil,Dual Citizen,ABD,US Citizens Living Abroad
1888,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1889,2024 Fall,Graduate,Graduate,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1890,2024 Fall,Graduate,Graduate,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1891,2024 Fall,Graduate,Graduate,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1892,2024 Fall,Graduate,Graduate,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1893,2024 Fall,Graduate,Graduate,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1894,2024 Fall,Graduate,Graduate,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1895,2024 Fall,Graduate,Graduate,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1896,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,ABD,US Citizens Living Abroad
1897,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,None/Not Stated,South Korea,Intl Citz,Asia,South Korea,Non Dual Citizen,Not ABD,Non-US Citizen
1898,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Christian Reformed,South Africa,Intl Citz,Africa,South Africa,Non Dual Citizen,Not ABD,Non-US Citizen
1899,2024 Fall,Graduate,Graduate,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1900,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Reformed,China,Intl Citz,Asia,China,Non Dual Citizen,Not ABD,Non-US Citizen
1901,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,None/Not Stated,Ghana,Intl Citz,Africa,Ghana,Non Dual Citizen,Not ABD,Non-US Citizen
1902,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Christian Reformed,China,Intl Citz,Asia,China,Non Dual Citizen,Not ABD,Non-US Citizen
1903,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Other Church,Kenya,Intl Citz,Africa,Kenya,Non Dual Citizen,Not ABD,Non-US Citizen
1904,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Church,Ghana,Intl Citz,Africa,Ghana,Non Dual Citizen,Not ABD,Non-US Citizen
1905,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,None/Not Stated,Thailand,Intl Citz,Asia,Thailand,Non Dual Citizen,DOMIN,Non-US Citizen
1906,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,None/Not Stated,Russian Federation,Intl Citz,North America,Canada,Non Dual Citizen,Not ABD,Non-US Citizen
1907,2024 Fall,Undergraduate,Post Baccalaureate,Online Campus,Part Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1908,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1909,2024 Fall,Graduate,Graduate,Online Campus,Full Time,Not Child of Alumni,Asian,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1910,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1911,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1912,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Multi-Racial,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1913,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1914,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Hispanic/Latino,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1915,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Presbyterian,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1916,2024 Fall,Graduate,Graduate,Online Campus,Part Time,Not Child of Alumni,White,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1917,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Roman Catholic,Brazil,Intl Citz,South America,Brazil,Non Dual Citizen,Not ABD,Non-US Citizen
1918,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Roman Catholic,Uganda,Intl Citz,North America,United States of America,Non Dual Citizen,DOMIN,Non-US Citizen
1919,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1920,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Presbyterian,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1921,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1922,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Asian,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1923,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Multi-Racial,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Dual Citizen,ABD,US Citizens Living Abroad
1924,2024 Fall,Undergraduate,Dual Enrollment,Grand Rapids Campus,Part Time,Not Child of Alumni,White,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1925,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1926,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1927,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1928,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1929,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1930,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1931,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,Multi-Racial,Male,Other Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1932,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,Hispanic/Latino,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1933,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1934,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1935,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,U.S. Nonresident,Male,Other Church,Guatemala,Intl Citz,North America,United States of America,Non Dual Citizen,DOMIN,Non-US Citizen
1936,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,White,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1937,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1938,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1939,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,Not Stated,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1940,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1941,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,Other Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1942,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1943,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1944,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1945,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,ABD,US Citizens Living Abroad
1946,2024 Fall,Graduate,Graduate,Online Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1947,2024 Fall,Graduate,Graduate,Online Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1948,2024 Fall,Graduate,Graduate,Online Campus,Part Time,Not Child of Alumni,Multi-Racial,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1949,2024 Fall,Graduate,Graduate,Online Campus,Part Time,Not Child of Alumni,Not Stated,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1950,2024 Fall,Graduate,Graduate,Online Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1951,2024 Fall,Graduate,Graduate,Online Campus,Part Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1952,2024 Fall,Graduate,Graduate,Online Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1953,2024 Fall,Graduate,Graduate,Online Campus,Part Time,Not Child of Alumni,Hispanic/Latino,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1954,2024 Fall,Graduate,Graduate,Online Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1955,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Presbyterian,Kenya,Intl Citz,Africa,Kenya,Non Dual Citizen,Not ABD,Non-US Citizen
1956,2024 Fall,Graduate,Graduate,Online Campus,Part Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1957,2024 Fall,Graduate,Graduate,Online Campus,Part Time,Not Child of Alumni,Hispanic/Latino,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1958,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1959,2024 Fall,Graduate,Graduate,Online Campus,Part Time,Not Child of Alumni,Black or African American,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1960,2024 Fall,Undergraduate,Post Baccalaureate,Online Campus,Part Time,Not Child of Alumni,Asian,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1961,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Hispanic/Latino,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1962,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1963,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1964,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1965,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1966,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1967,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1968,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Multi-Racial,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
1969,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,ABD,US Citizens Living Abroad
1970,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
